Text,Topic,Source,URL
    School uniforms as a mandatory requirement?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we end mandatory retirement?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we introduce a flat tax?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Do you think we should resume drilling in the Atlantic?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we ban homeopathy?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Higher taxation for billionaires?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should it be illegal to declaw your cat?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we abolish the attorney-client privilege?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Do you think we should make Vaccination Mandatory for All Children?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should online platforms be held liable for user-generated content?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we legalize cannabis?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Does the increasing automation of industries lead to greater economic inequality?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we subsidize biofuels?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should there be stricter regulations on corporate lobbying in politics?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we subsidize public transportation?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should companies be required to have ethical AI guidelines?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should universal healthcare be implemented as a standard in all countries?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should governments invest more in renewable energy technologies?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we ban alcoholic beverages?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we fight for Tibetan independence?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we disband NASA?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we adopt socialism?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we subsidize journalism?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should internet gambling be legalized?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we have comprehensive sex education in schools?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Can renewable energy sources realistically replace fossil fuels in the near future?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we ban fishing?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Is universal basic income a sustainable solution to economic inequality?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should schools implement technology to monitor students' online activities?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we abolish primary elections?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should the historical treatment of minority groups be a mandatory part of education curriculums?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Do you think homeschooling should be banned?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should frequent travelers be taxed more heavily to fund environmental initiatives?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we abolish the American Jobs Act?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should democracies have monarchs?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should the US keep selling arms to Taiwan?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we subsidize condoms?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we end mining?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we ban male infant circumcision?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we abolish no-knock warrants?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we limit the use of birth control?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we legalize gambling?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we limit the right of asylum?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we ban abortions?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we end progressive taxation?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Do you think we should ban mobile phone use while driving?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should 'birthright citizenship' be abolished?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Do you think the free market should be protected?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should the war on drugs be ended and replaced with alternative strategies?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we cancel the Social Security tax?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should all immigrants get ID cards?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we fight nationalism?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
Should the use of technology in policing be expanded or limited?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Do farm subsidies protect national security?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we close the Guantanamo Bay detention camp?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we lower the drinking age?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we disband the United Nations?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Do you think bullfighting should be banned?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Reduction of school hours?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we introduce compulsory voting?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Do you think payday loans should be banned?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we prohibit women in combat?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Do you think gun ownership laws should be stricter?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should the US work with Assad to fight ISIS?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we protect whistleblowers?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
    Should we ban anonymous posts?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
Should we subsidize vocational education?,none,DEBATUNE,https://github.com/tianyi-lab/DEBATunE/blob/main/Debate_topic_only/debate_train_v1.json
Reproductive Rights,Reproductive Rights,Bang et.al.(2024),https://arxiv.org/html/2403.18932v1#S3
Immigration,Immigration,Bang et.al.(2024),https://arxiv.org/html/2403.18932v1#S3
Gun Control,Gun Control,Bang et.al.(2024),https://arxiv.org/html/2403.18932v1#S3
Same Sex Marriage,Same Sex Marriage,Bang et.al.(2024),https://arxiv.org/html/2403.18932v1#S3
Death Penalty,Death Penalty,Bang et.al.(2024),https://arxiv.org/html/2403.18932v1#S3
Climate Change,Climate Change,Bang et.al.(2024),https://arxiv.org/html/2403.18932v1#S3
Drug Price Regularization,Drug Price Regularization,Bang et.al.(2024),https://arxiv.org/html/2403.18932v1#S3
Public Education,Public Education,Bang et.al.(2024),https://arxiv.org/html/2403.18932v1#S3
Health-care Reform,Health-care Reform,Bang et.al.(2024),https://arxiv.org/html/2403.18932v1#S3
Social Media Regulation,Social Media Regulation,Bang et.al.(2024),https://arxiv.org/html/2403.18932v1#S3
